Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 30/10/2015
TIME       : 10:39:23
FILENAME   : C:\Users\Veldwerk\Desktop\638_Den_Helder\CSV\sws_t2905_151030103922_T2905.CSV
CREATED BY : SWS Diver-Office 6.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..01-T2905  317.
  Instrument number       =                    
                          =0
  Location                =sws_t2905
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


[Series settings]
  Serial number           =..01-T2905  317.
  Instrument number       =                    
  Location                =sws_t2905
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 20/08/15
  End date / time         =00:30:11 30/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =120.000   mS/cm


Date/time,Druk[cm],Temperatuur[°C],1:Geleidbaarheid[mS/cm]
2015/08/20 12:00:00,1161.250,18.157,3.088
2015/08/20 12:15:00,1161.250,18.160,3.088
2015/08/20 12:30:00,1161.717,18.170,3.088
2015/08/20 12:45:00,1161.892,18.187,3.092
2015/08/20 13:00:00,1161.542,18.170,3.088
2015/08/20 13:15:00,1161.542,18.170,3.088
2015/08/20 13:30:00,1161.367,18.180,3.084
2015/08/20 13:45:00,1161.367,18.173,3.088
2015/08/20 14:00:00,1160.900,18.180,3.084
2015/08/20 14:15:00,1160.900,18.190,3.084
2015/08/20 14:30:00,1161.075,18.203,3.084
2015/08/20 14:45:00,1160.900,18.230,3.084
2015/08/20 15:00:00,1160.725,18.223,3.088
2015/08/20 15:15:00,1161.075,18.213,3.084
2015/08/20 15:30:00,1160.433,18.213,3.084
2015/08/20 15:45:00,1160.433,18.220,3.084
2015/08/20 16:00:00,1160.083,18.230,3.084
2015/08/20 16:15:00,1159.442,18.227,3.080
2015/08/20 16:30:00,1158.042,18.283,3.084
2015/08/20 16:45:00,1156.875,18.523,3.116
2015/08/20 17:00:00,1155.125,19.337,3.120
2015/08/20 17:15:00,1153.725,20.333,3.088
2015/08/20 17:30:00,1151.800,20.450,3.048
2015/08/20 17:45:00,1149.817,20.587,3.020
2015/08/20 18:00:00,1148.067,20.780,3.004
2015/08/20 18:15:00,1146.142,20.850,3.020
2015/08/20 18:30:00,1144.392,20.840,3.048
2015/08/20 18:45:00,1143.108,20.670,3.104
2015/08/20 19:00:00,1144.683,20.580,3.120
2015/08/20 19:15:00,1145.500,20.547,3.120
2015/08/20 19:30:00,1146.783,20.627,3.092
